,0,1,2,3,4,5,6,7,8,9
2378,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Glory (1989),It's a Wonderful Life (1946),Monty Python and the Holy Grail (1974),Toy Story 2 (1999),To Kill a Mockingbird (1962),Toy Story (1995)
2379,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),It's a Wonderful Life (1946),Glory (1989),"Green Mile, The (1999)",Apollo 13 (1995),October Sky (1999)
2380,"Bicycle Thief, The (Ladri di biciclette) (1948)",American Beauty (1999),Some Like It Hot (1959),Gods and Monsters (1998),Diner (1982),"Bug's Life, A (1998)",Breakfast at Tiffany's (1961),Dead Calm (1989),Eyes Wide Shut (1999),...And Justice for All (1979)
2381,"Shawshank Redemption, The (1994)",Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Sixth Sense, The (1999)",Braveheart (1995),Arsenic and Old Lace (1944),Toy Story 2 (1999),Gladiator (2000),"Patriot, The (2000)","Twelve Chairs, The (1970)",Erin Brockovich (2000)
2382,Rear Window (1954),"Christmas Story, A (1983)","Thin Man, The (1934)",It's a Wonderful Life (1946),Roman Holiday (1953),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Blade Runner (1982),"Princess Bride, The (1987)",To Catch a Thief (1955)
2383,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Braveheart (1995),"Green Mile, The (1999)","Matrix, The (1999)",Toy Story 2 (1999),"Hunt for Red October, The (1990)",Die Hard (1988),Seven (Se7en) (1995),Independence Day (ID4) (1996)
2384,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),Good Will Hunting (1997),To Kill a Mockingbird (1962),"Wizard of Oz, The (1939)","Game, The (1997)",Fargo (1996),All About Eve (1950)
2385,"Wizard of Oz, The (1939)",Toy Story 2 (1999),"Fugitive, The (1993)",Toy Story (1995),Star Wars: Episode V - The Empire Strikes Back (1980),West Side Story (1961),Terminator 2: Judgment Day (1991),E.T. the Extra-Terrestrial (1982),"Bug's Life, A (1998)","Little Mermaid, The (1989)"
2386,Schindler's List (1993),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Fargo (1996),"Silence of the Lambs, The (1991)",Fight Club (1999),"Usual Suspects, The (1995)",L.A. Confidential (1997),When We Were Kings (1996)
2387,Schindler's List (1993),"Godfather, The (1972)",Lawrence of Arabia (1962),Saving Private Ryan (1998),Butch Cassidy and the Sundance Kid (1969),Glory (1989),"Godfather: Part II, The (1974)",Full Metal Jacket (1987),"Fugitive, The (1993)","French Connection, The (1971)"
2388,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),"Godfather, The (1972)",Rear Window (1954),"Close Shave, A (1995)","Wrong Trousers, The (1993)",Blade Runner (1982),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996)
2389,Remember the Titans (2000),Sleepless in Seattle (1993),Raiders of the Lost Ark (1981),Emma (1996),Forrest Gump (1994),As Good As It Gets (1997),Sense and Sensibility (1995),Heart and Souls (1993),Shakespeare in Love (1998),Steel Magnolias (1989)
2390,"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Braveheart (1995),"Green Mile, The (1999)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Fugitive, The (1993)","Usual Suspects, The (1995)"
2391,"Sixth Sense, The (1999)",Toy Story 2 (1999),"Maltese Falcon, The (1941)",One Flew Over the Cuckoo's Nest (1975),Forrest Gump (1994),Erin Brockovich (2000),Shakespeare in Love (1998),"Bug's Life, A (1998)",American Beauty (1999),American Pie (1999)
2392,Paths of Glory (1957),"Streetcar Named Desire, A (1951)","Pawnbroker, The (1965)",Some Like It Hot (1959),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Schindler's List (1993),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Lawrence of Arabia (1962),To Kill a Mockingbird (1962),Casablanca (1942)
2393,"Christmas Story, A (1983)","Princess Bride, The (1987)",Forrest Gump (1994),Young Frankenstein (1974),Casablanca (1942),"Shining, The (1980)",Contact (1997),"Little Mermaid, The (1989)","Rock, The (1996)",Alien (1979)
2394,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),"Matrix, The (1999)","Green Mile, The (1999)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Fugitive, The (1993)"
2395,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)","Christmas Story, A (1983)",Casablanca (1942),"Usual Suspects, The (1995)",Apollo 13 (1995),Life Is Beautiful (La Vita è bella) (1997),"Fugitive, The (1993)",American Beauty (1999),Persuasion (1995)
2396,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Rear Window (1954),Double Indemnity (1944),Schindler's List (1993),Sanjuro (1962),Citizen Kane (1941),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Blade Runner (1982),"Silence of the Lambs, The (1991)",Yojimbo (1961)
2397,Schindler's List (1993),Casablanca (1942),"Godfather, The (1972)",It's a Wonderful Life (1946),To Kill a Mockingbird (1962),Saving Private Ryan (1998),Citizen Kane (1941),"Maltese Falcon, The (1941)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Amadeus (1984)
2398,City Lights (1931),Fargo (1996),American Beauty (1999),North by Northwest (1959),Duck Soup (1933),"Godfather: Part II, The (1974)",Arsenic and Old Lace (1944),Platoon (1986),"Suddenly, Last Summer (1959)",Repo Man (1984)
2399,"Sixth Sense, The (1999)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Shining, The (1980)",Star Wars: Episode V - The Empire Strikes Back (1980),"Godfather, The (1972)",Aliens (1986),Alien (1979),Terminator 2: Judgment Day (1991)
2400,Saving Private Ryan (1998),"Godfather, The (1972)",American Beauty (1999),Raiders of the Lost Ark (1981),"Matrix, The (1999)","Maltese Falcon, The (1941)",Braveheart (1995),Elizabeth (1998),Shakespeare in Love (1998),"Fugitive, The (1993)"
2401,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Great Escape, The (1963)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Glory (1989),"Godfather, The (1972)"
2402,Saving Private Ryan (1998),Braveheart (1995),"Matrix, The (1999)",Raiders of the Lost Ark (1981),"Fugitive, The (1993)",Star Wars: Episode IV - A New Hope (1977),"Christmas Story, A (1983)","Princess Bride, The (1987)",Die Hard (1988),"Hunt for Red October, The (1990)"
2403,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Braveheart (1995),"Princess Bride, The (1987)","Usual Suspects, The (1995)","Sting, The (1973)",Star Wars: Episode V - The Empire Strikes Back (1980),"Fugitive, The (1993)"
2404,Schindler's List (1993),"Great Escape, The (1963)","Searchers, The (1956)",Braveheart (1995),To Catch a Thief (1955),Star Wars: Episode IV - A New Hope (1977),Doctor Zhivago (1965),"Sting, The (1973)",Indiana Jones and the Last Crusade (1989),Die Hard (1988)
2405,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Schindler's List (1993),"Silence of the Lambs, The (1991)","Fugitive, The (1993)",Good Will Hunting (1997),One Flew Over the Cuckoo's Nest (1975),"Verdict, The (1982)",Dog Day Afternoon (1975),Forrest Gump (1994)
2406,"Bicycle Thief, The (Ladri di biciclette) (1948)",City Lights (1931),Paths of Glory (1957),Double Indemnity (1944),Rear Window (1954),Casablanca (1942),Schindler's List (1993),"Third Man, The (1949)","General, The (1927)","Palm Beach Story, The (1942)"
2407,"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Frequency (2000),Mr. Holland's Opus (1995),"Usual Suspects, The (1995)",Seven (Se7en) (1995),One Flew Over the Cuckoo's Nest (1975),Jagged Edge (1985),"Rock, The (1996)","Patriot, The (2000)"
2408,Schindler's List (1993),Saving Private Ryan (1998),Raiders of the Lost Ark (1981),Glory (1989),"Christmas Story, A (1983)",Remember the Titans (2000),Gladiator (2000),Dead Poets Society (1989),Casablanca (1942),"Killing Fields, The (1984)"
2409,"Shawshank Redemption, The (1994)",Schindler's List (1993),Glory (1989),"Godfather, The (1972)","Christmas Story, A (1983)","Green Mile, The (1999)","Bridge on the River Kwai, The (1957)",Apollo 13 (1995),One Flew Over the Cuckoo's Nest (1975),October Sky (1999)
2410,Saving Private Ryan (1998),"Godfather, The (1972)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Christmas Story, A (1983)","Matrix, The (1999)",Blade Runner (1982),Glory (1989),Casablanca (1942),"Princess Bride, The (1987)"
2411,Saving Private Ryan (1998),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)",Alien (1979),"French Connection, The (1971)",Jaws (1975),Titanic (1997),Rocky (1976),Thelma & Louise (1991)
2412,Schindler's List (1993),Saving Private Ryan (1998),"Boat, The (Das Boot) (1981)","Untouchables, The (1987)",E.T. the Extra-Terrestrial (1982),Lethal Weapon (1987),Shall We Dance? (1937),Body Heat (1981),Rebecca (1940),Midnight Run (1988)
2413,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",It's a Wonderful Life (1946),"Silence of the Lambs, The (1991)",Braveheart (1995),"Christmas Story, A (1983)",Apollo 13 (1995),Glory (1989),"Bridge on the River Kwai, The (1957)",To Kill a Mockingbird (1962)
2414,American Beauty (1999),Fargo (1996),L.A. Confidential (1997),Being John Malkovich (1999),Almost Famous (2000),Seven (Se7en) (1995),High Fidelity (2000),Gladiator (2000),Frequency (2000),Donnie Brasco (1997)
2415,Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Forrest Gump (1994),Gladiator (2000),Remember the Titans (2000),Frequency (2000),"Patriot, The (2000)","Last of the Mohicans, The (1992)","Contender, The (2000)"
2416,To Catch a Thief (1955),"Princess Bride, The (1987)",Arsenic and Old Lace (1944),Butch Cassidy and the Sundance Kid (1969),North by Northwest (1959),Young Frankenstein (1974),Some Like It Hot (1959),Toy Story 2 (1999),One Flew Over the Cuckoo's Nest (1975),M*A*S*H (1970)
2417,"Close Shave, A (1995)","Wrong Trousers, The (1993)",Forrest Gump (1994),Toy Story (1995),"Bug's Life, A (1998)",Sleepless in Seattle (1993),As Good As It Gets (1997),Back to the Future (1985),Titanic (1997),Pretty Woman (1990)
2418,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Great Escape, The (1963)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)","Sting, The (1973)","Usual Suspects, The (1995)"
2419,"Matrix, The (1999)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Hunt for Red October, The (1990)",Butch Cassidy and the Sundance Kid (1969),Indiana Jones and the Last Crusade (1989),"Dirty Dozen, The (1967)",Star Wars: Episode V - The Empire Strikes Back (1980),"Godfather, The (1972)"
2420,Schindler's List (1993),Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)","Usual Suspects, The (1995)","Matrix, The (1999)",One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Blade Runner (1982),Aliens (1986),L.A. Confidential (1997)
2421,Life Is Beautiful (La Vita è bella) (1997),Chinatown (1974),Ferris Bueller's Day Off (1986),When Harry Met Sally... (1989),Take the Money and Run (1969),As Good As It Gets (1997),Driving Miss Daisy (1989),Back to the Future (1985),"Fish Called Wanda, A (1988)",Lady and the Tramp (1955)
2422,Roman Holiday (1953),Rear Window (1954),"Silence of the Lambs, The (1991)",My Fair Lady (1964),North by Northwest (1959),"Affair to Remember, An (1957)","Philadelphia Story, The (1940)",Casablanca (1942),Forrest Gump (1994),"Little Mermaid, The (1989)"
2423,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),Braveheart (1995),"Matrix, The (1999)","Close Shave, A (1995)","Wrong Trousers, The (1993)",Raiders of the Lost Ark (1981),"Fugitive, The (1993)",Star Wars: Episode IV - A New Hope (1977),Die Hard (1988)
2424,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Sixth Sense, The (1999)",Braveheart (1995),"Matrix, The (1999)",Glory (1989),Forrest Gump (1994),"Fugitive, The (1993)"
2425,"Godfather, The (1972)",Schindler's List (1993),"Shawshank Redemption, The (1994)","Streetcar Named Desire, A (1951)",North by Northwest (1959),"Boat, The (Das Boot) (1981)",Saving Private Ryan (1998),"Bridge on the River Kwai, The (1957)","Christmas Story, A (1983)",Cool Hand Luke (1967)
2426,"Close Shave, A (1995)","Wrong Trousers, The (1993)",American Beauty (1999),Fight Club (1999),"Grand Day Out, A (1992)",Creature Comforts (1990),Being John Malkovich (1999),Wallace & Gromit: The Best of Aardman Animation (1996),Elizabeth (1998),Toy Story 2 (1999)
2427,"Princess Bride, The (1987)","Sting, The (1973)",One Flew Over the Cuckoo's Nest (1975),"Christmas Story, A (1983)",Life Is Beautiful (La Vita è bella) (1997),American Beauty (1999),City Lights (1931),Cool Hand Luke (1967),Young Frankenstein (1974),Roman Holiday (1953)
2428,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),"Green Mile, The (1999)",Apollo 13 (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977)
2429,Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)","Christmas Story, A (1983)",Die Hard (1988),"Few Good Men, A (1992)",Terminator 2: Judgment Day (1991),American Beauty (1999),Ferris Bueller's Day Off (1986),Lethal Weapon (1987),Field of Dreams (1989)
2430,"Godfather, The (1972)",American Beauty (1999),"Silence of the Lambs, The (1991)",Fight Club (1999),Being John Malkovich (1999),Amadeus (1984),Raiders of the Lost Ark (1981),Life Is Beautiful (La Vita è bella) (1997),Glory (1989),My Fair Lady (1964)
2431,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Great Escape, The (1963)","Matrix, The (1999)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Die Hard (1988),Forrest Gump (1994),Star Wars: Episode V - The Empire Strikes Back (1980),Blade Runner (1982)
2432,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),"Wrong Trousers, The (1993)",Casablanca (1942),Star Wars: Episode V - The Empire Strikes Back (1980),Gladiator (2000),Ferris Bueller's Day Off (1986),Star Wars: Episode VI - Return of the Jedi (1983),Frequency (2000)
2433,American History X (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),"Godfather, The (1972)",Gladiator (2000),Die Hard (1988),Star Wars: Episode VI - Return of the Jedi (1983),When Harry Met Sally... (1989),Caddyshack (1980),"Wild Bunch, The (1969)"
2434,Saving Private Ryan (1998),Braveheart (1995),"Matrix, The (1999)",Raiders of the Lost Ark (1981),Glory (1989),"Fugitive, The (1993)","Princess Bride, The (1987)",Star Wars: Episode IV - A New Hope (1977),"Hunt for Red October, The (1990)",Die Hard (1988)
2435,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)","Godfather, The (1972)",Braveheart (1995),"Matrix, The (1999)","Close Shave, A (1995)"
2436,Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)",Gladiator (2000),Die Hard (1988),Good Will Hunting (1997),One Flew Over the Cuckoo's Nest (1975),Blade Runner (1982)
2437,Schindler's List (1993),Anne Frank Remembered (1995),Saving Private Ryan (1998),Being John Malkovich (1999),Manon of the Spring (Manon des sources) (1986),Monty Python and the Holy Grail (1974),Butch Cassidy and the Sundance Kid (1969),North by Northwest (1959),Jean de Florette (1986),Being There (1979)
2438,Braveheart (1995),Forrest Gump (1994),American Beauty (1999),Terminator 2: Judgment Day (1991),Erin Brockovich (2000),Nikita (La Femme Nikita) (1990),Fargo (1996),Shakespeare in Love (1998),"Sound of Music, The (1965)",From Russia with Love (1963)
2439,"Bug's Life, A (1998)",American Pie (1999),"Pajama Game, The (1957)","Ref, The (1994)","Bell, Book and Candle (1958)","Pope of Greenwich Village, The (1984)",Blue Sky (1994),"Family Thing, A (1996)",Fatal Attraction (1987),Boys Don't Cry (1999)
2440,Just Cause (1995),"Game, The (1997)",Fallen (1998),"Perfect Murder, A (1998)",L.A. Confidential (1997),"Client, The (1994)",True Crime (1995),In Love and War (1996),Shaft (2000),Sommersby (1993)
2441,It's a Wonderful Life (1946),One Flew Over the Cuckoo's Nest (1975),My Fair Lady (1964),"Wizard of Oz, The (1939)","Sound of Music, The (1965)",Singin' in the Rain (1952),Back to the Future (1985),West Side Story (1961),Beauty and the Beast (1991),"Lion King, The (1994)"
2442,Braveheart (1995),Toy Story 2 (1999),Forrest Gump (1994),When Harry Met Sally... (1989),Back to the Future (1985),Pretty Woman (1990),Meet the Parents (2000),Men in Black (1997),My Cousin Vinny (1992),My Best Friend's Wedding (1997)
2443,"Wizard of Oz, The (1939)",Toy Story 2 (1999),Braveheart (1995),Mulan (1998),Robin Hood (1973),"Little Mermaid, The (1989)","Paper Chase, The (1973)","Shining, The (1980)",Lady and the Tramp (1955),Cinderella (1950)
2444,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),Braveheart (1995),"Matrix, The (1999)","Fugitive, The (1993)",Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Toy Story 2 (1999),"Hunt for Red October, The (1990)",Die Hard (1988)
2445,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Godfather, The (1972)",American History X (1998),"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),Blade Runner (1982),Raiders of the Lost Ark (1981)
2446,"Silence of the Lambs, The (1991)",Lethal Weapon (1987),Ferris Bueller's Day Off (1986),Lethal Weapon 2 (1989),Charlotte's Web (1973),Better Off Dead... (1985),Christmas Vacation (1989),Back to the Future (1985),"Gods Must Be Crazy, The (1980)",Trading Places (1983)
2447,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Great Escape, The (1963)",Braveheart (1995),To Kill a Mockingbird (1962),October Sky (1999),Raiders of the Lost Ark (1981)
2448,One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),North by Northwest (1959),"Matrix, The (1999)",Fargo (1996),Braveheart (1995),"Fugitive, The (1993)",Stand by Me (1986),"Sound of Music, The (1965)",Terminator 2: Judgment Day (1991)
2449,"Silence of the Lambs, The (1991)",Braveheart (1995),Casablanca (1942),American Beauty (1999),"Green Mile, The (1999)",Good Will Hunting (1997),12 Angry Men (1957),Dances with Wolves (1990),"Godfather: Part II, The (1974)",Sling Blade (1996)
2450,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Star Wars: Episode IV - A New Hope (1977),One Flew Over the Cuckoo's Nest (1975),"Christmas Story, A (1983)","Bridge on the River Kwai, The (1957)",Butch Cassidy and the Sundance Kid (1969),Gladiator (2000),Cool Hand Luke (1967),Indiana Jones and the Last Crusade (1989),Alien (1979)
2451,Schindler's List (1993),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Green Mile, The (1999)","Fugitive, The (1993)","Hunt for Red October, The (1990)","Usual Suspects, The (1995)",In the Line of Fire (1993),Erin Brockovich (2000),Enemy of the State (1998)
2452,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Godfather, The (1972)","Great Escape, The (1963)",Braveheart (1995)
2453,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Glory (1989),It's a Wonderful Life (1946)
2454,Blade Runner (1982),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Young Frankenstein (1974),"Princess Bride, The (1987)",Brazil (1985),"Princess Mononoke, The (Mononoke Hime) (1997)",This Is Spinal Tap (1984),Pulp Fiction (1994),Raiders of the Lost Ark (1981)
2455,"Close Shave, A (1995)","Wrong Trousers, The (1993)",Blade Runner (1982),American Beauty (1999),"Shawshank Redemption, The (1994)",Being John Malkovich (1999),"Silence of the Lambs, The (1991)",Fight Club (1999),"Boat, The (Das Boot) (1981)","Usual Suspects, The (1995)"
2456,Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Glory (1989),"Green Mile, The (1999)","Princess Bride, The (1987)"
2457,"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Matrix, The (1999)",Cinema Paradiso (1988),"Princess Bride, The (1987)","Christmas Story, A (1983)","Usual Suspects, The (1995)",Forrest Gump (1994),"Fugitive, The (1993)",Butch Cassidy and the Sundance Kid (1969)
2458,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),"Princess Bride, The (1987)",October Sky (1999),"Fugitive, The (1993)",Forrest Gump (1994)
2459,Rear Window (1954),It's a Wonderful Life (1946),"Quiet Man, The (1952)",Saving Private Ryan (1998),"Great Escape, The (1963)",To Catch a Thief (1955),My Fair Lady (1964),Braveheart (1995),Lawrence of Arabia (1962),Glory (1989)
2460,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",American History X (1998),Raiders of the Lost Ark (1981),"Christmas Story, A (1983)","Matrix, The (1999)","Usual Suspects, The (1995)",Braveheart (1995)
2461,"Shawshank Redemption, The (1994)",Rear Window (1954),"Close Shave, A (1995)","Silence of the Lambs, The (1991)","Wrong Trousers, The (1993)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),"Great Escape, The (1963)",Star Wars: Episode IV - A New Hope (1977),One Flew Over the Cuckoo's Nest (1975)
2462,Raiders of the Lost Ark (1981),Braveheart (1995),"Godfather, The (1972)",Glory (1989),"Princess Bride, The (1987)",Star Wars: Episode V - The Empire Strikes Back (1980),Die Hard (1988),American Beauty (1999),North by Northwest (1959),Aliens (1986)
2463,Schindler's List (1993),"Godfather, The (1972)","Shawshank Redemption, The (1994)",Fargo (1996),American Beauty (1999),"Wizard of Oz, The (1939)","Silence of the Lambs, The (1991)",Cinema Paradiso (1988),Saving Private Ryan (1998),Annie Hall (1977)
2464,Schindler's List (1993),Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),Casablanca (1942),"Shawshank Redemption, The (1994)","Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),"Wizard of Oz, The (1939)",Fargo (1996)
2465,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Double Indemnity (1944),Chinatown (1974),Fargo (1996),American Beauty (1999),Blade Runner (1982),"Maltese Falcon, The (1941)",Touch of Evil (1958),M (1931),North by Northwest (1959)
2466,Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Star Wars: Episode V - The Empire Strikes Back (1980),Terminator 2: Judgment Day (1991),Star Wars: Episode VI - Return of the Jedi (1983),Happy Gilmore (1996),X-Men (2000),Billy Madison (1995),Hoop Dreams (1994),Ghostbusters (1984)
2467,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Matrix, The (1999)","Silence of the Lambs, The (1991)",Apollo 13 (1995),Philadelphia (1993),Patton (1970),Glory (1989),"Fugitive, The (1993)"
2468,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Godfather, The (1972)",Being John Malkovich (1999),"Maltese Falcon, The (1941)",Fight Club (1999),North by Northwest (1959),"African Queen, The (1951)",Taxi Driver (1976),Election (1999),Boys Don't Cry (1999)
2469,"Silence of the Lambs, The (1991)",One Flew Over the Cuckoo's Nest (1975),Remember the Titans (2000),"Rock, The (1996)",Taxi Driver (1976),Clear and Present Danger (1994),Fantastic Voyage (1966),True Lies (1994),"Mummy, The (1999)",GoldenEye (1995)
2470,Casablanca (1942),American Beauty (1999),"Big Sleep, The (1946)",North by Northwest (1959),"African Queen, The (1951)",Glory (1989),Fargo (1996),Singin' in the Rain (1952),Braveheart (1995),"Professional, The (a.k.a. Leon: The Professional) (1994)"
2471,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Braveheart (1995),"Godfather, The (1972)",Rear Window (1954)
2472,Braveheart (1995),American Beauty (1999),Remember the Titans (2000),Erin Brockovich (2000),Terminator 2: Judgment Day (1991),"Professional, The (a.k.a. Leon: The Professional) (1994)",Almost Famous (2000),Platoon (1986),Ben-Hur (1959),"Patriot, The (2000)"
2473,"Matrix, The (1999)",Braveheart (1995),"Green Mile, The (1999)","Usual Suspects, The (1995)",One Flew Over the Cuckoo's Nest (1975),Chinatown (1974),American Beauty (1999),Forrest Gump (1994),Seven (Se7en) (1995),L.A. Confidential (1997)
2474,Young Frankenstein (1974),"Shining, The (1980)","Wolf Man, The (1941)",Alien (1979),Indiana Jones and the Last Crusade (1989),Dracula (1931),Star Wars: Episode VI - Return of the Jedi (1983),Misery (1990),Jaws (1975),"American Werewolf in London, An (1981)"
2475,"Streetcar Named Desire, A (1951)",Casablanca (1942),"Godfather, The (1972)",Fargo (1996),One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),"Bridge on the River Kwai, The (1957)",Cool Hand Luke (1967),Harold and Maude (1971),"Silence of the Lambs, The (1991)"
2476,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Schindler's List (1993),Casablanca (1942),Rear Window (1954),"Third Man, The (1949)","Godfather, The (1972)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Citizen Kane (1941),Fargo (1996),Some Like It Hot (1959)
2477,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Shawshank Redemption, The (1994)",Schindler's List (1993),"Godfather, The (1972)",Rear Window (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Casablanca (1942),Double Indemnity (1944)
2478,Schindler's List (1993),Young Frankenstein (1974),L.A. Confidential (1997),Saving Private Ryan (1998),"Clockwork Orange, A (1971)","Princess Bride, The (1987)",Alien (1979),2001: A Space Odyssey (1968),Star Wars: Episode IV - A New Hope (1977),"Shining, The (1980)"
2479,"Big Sleep, The (1946)","Maltese Falcon, The (1941)",Casablanca (1942),FairyTale: A True Story (1997),"Sound of Music, The (1965)",Shakespeare in Love (1998),Fight Club (1999),Run Lola Run (Lola rennt) (1998),Terminator 2: Judgment Day (1991),"Bug's Life, A (1998)"
